time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity,right_velocity,left_rad_s,right_rad_s,voltage
1777784454.096,0.0000,0.0000,0.0000,1.0000,-0.0008,0.0011,-0.0000,0.0000,0.0000,-0.0000,49.7191
1777784455.094,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,-0.0000,0.0000,0.0000,-0.0000,49.6426
1777784456.095,0.0000,0.0000,0.0000,1.0000,0.0002,0.0011,-0.0000,0.0000,0.0000,-0.0000,49.6426
1777784457.094,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,-0.0000,0.0000,0.0000,-0.0000,49.6579
1777784458.094,0.0000,0.0000,0.0000,1.0000,0.0004,0.0022,-0.0000,0.0000,0.0000,-0.0000,49.6732
1777784459.094,0.0000,0.0000,0.0000,1.0000,-0.0006,0.0011,-0.0000,0.0000,0.0000,-0.0000,49.6579
1777784460.095,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0011,-0.0000,0.0000,0.0000,-0.0000,49.6579
1777784461.094,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0011,-0.0000,0.0000,0.0000,-0.0000,49.6885
1777784462.094,0.0000,0.0000,0.0000,1.0000,0.0049,-0.0067,-0.0000,0.0000,0.0959,-0.0000,49.6426
1777784463.094,0.0000,0.0000,0.0000,1.0000,-0.0426,0.0067,-0.0000,0.0000,0.3835,0.3835,49.6273
1777784464.094,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,49.6426
1777784465.095,0.0000,0.0000,0.0000,1.0000,-0.0007,0.0000,-0.0000,0.0000,0.0000,-0.0000,49.6426
1777784466.094,0.0000,0.0000,0.0000,1.0000,0.0001,0.0011,-0.0000,0.0000,0.0000,-0.0000,49.6426
1777784467.094,0.0000,0.0000,0.0000,1.0000,0.0002,0.0000,-0.0000,0.0000,0.0000,-0.0000,49.6579
1777784468.094,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0011,-0.9060,0.9339,0.0000,-0.0000,49.6426
1777784469.094,0.0000,0.0000,0.0000,1.0000,-0.0004,0.0000,-0.9060,0.9339,0.0000,-0.0000,49.6426
1777784470.094,0.0000,0.0000,0.0000,1.0000,0.0237,-0.0000,-1.2607,1.2972,0.5273,0.4794,49.7191
1777784471.094,0.0000,0.0000,0.0000,1.0000,0.1131,-0.0422,-2.9040,2.9463,1.7257,1.4381,49.7191
1777784472.094,0.1133,-0.0022,-0.0210,0.9998,0.2094,0.0978,-4.8501,4.5778,2.4927,2.7803,49.6885
1777784473.095,0.3356,-0.0101,0.0175,0.9998,0.3335,0.0189,-6.8820,7.0612,3.9788,4.2184,49.6732
1777784474.094,0.8034,0.0259,0.0245,0.9997,0.4629,-0.0822,-9.4300,8.9694,5.9921,5.6086,49.6885
1777784475.094,1.2981,0.0400,0.0269,0.9996,0.5115,0.2022,-9.9621,8.4373,5.4169,6.3277,49.6579
1777784476.094,1.7962,0.1454,0.1624,0.9867,0.5003,0.2889,-9.9248,8.4746,5.1772,6.5674,49.7191
1777784477.094,2.2122,0.3397,0.2530,0.9675,0.5006,-0.0211,-8.9939,9.4055,5.8004,5.8004,49.6426
1777784478.097,2.6225,0.5380,0.1996,0.9799,0.5023,-0.3756,-8.2458,10.1536,6.4235,4.8416,49.6885
1777784479.094,3.2110,0.6631,0.0193,0.9998,0.5016,-0.0822,-9.1884,9.2111,5.9442,5.6086,49.5967
1777784480.094,3.7314,0.6533,0.0030,1.0000,0.5071,-0.0722,-8.5297,9.8698,5.8483,5.8483,49.6732
1777784481.096,4.2436,0.6406,-0.0605,0.9982,0.5025,-0.0311,-9.4559,8.9436,5.8962,5.7045,49.5201
1777784482.094,4.6866,0.6076,-0.0311,0.9995,0.4996,0.1578,-9.4535,8.9459,5.4648,6.1839,49.6732
1777784483.094,5.1904,0.6104,0.0222,0.9998,0.5015,-0.0611,-9.1745,9.2249,5.9442,5.7045,49.6885
1777784484.094,5.6365,0.6279,0.0048,1.0000,0.4897,0.0122,-9.5002,8.8993,5.4429,5.7045,49.5814
1777784485.094,6.2220,0.6568,0.0369,0.9993,0.4962,0.1111,-9.2652,9.1342,5.4429,6.1359,49.6579
1777784486.094,6.6652,0.7161,0.0500,0.9987,0.4977,-0.1533,-8.8149,9.5845,5.9921,5.4429,49.6732
1777784487.094,7.1091,0.7581,-0.0120,0.9999,0.5069,-0.0589,-9.2469,9.1525,6.1359,5.8004,49.6273
1777784488.094,7.6040,0.7182,-0.0392,0.9992,0.4933,0.0989,-9.3792,9.0202,5.6086,6.0401,49.6885
1777784489.094,8.1571,0.7118,0.0060,1.0000,0.4965,0.0133,-6.5687,7.2314,5.6566,5.7524,49.7038
1777784490.094,8.5553,0.7164,-0.0077,1.0000,0.0998,0.0167,-0.0000,0.0000,-0.0479,-0.1438,49.6579
1777784491.095,8.5553,0.7164,-0.0077,1.0000,-0.0061,-0.0011,-0.0000,0.0000,0.0000,-0.0000,49.6426
1777784492.094,8.5553,0.7164,-0.0077,1.0000,-0.0052,-0.0000,-0.0000,0.0000,0.0000,0.0479,49.6426
1777784493.094,8.5553,0.7164,-0.0077,1.0000,-0.0000,0.0011,-0.0000,0.0000,0.0000,0.1438,49.6732
1777784494.095,8.5553,0.7164,-0.0077,1.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,-0.0000,49.6273
1777784495.094,8.5553,0.7164,-0.0077,1.0000,-0.0004,-0.0011,-0.0000,0.0000,0.0000,-0.0000,49.6426
