time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,amcl_yaw_deg,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
37.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,49.4130
38.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0002,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3977
38.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0022,-0.0000,-0.0000,0.0000,0.0000,49.3977
39.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3977
39.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3977
40.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,49.3977
40.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,49.3977
41.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,-0.0033,-0.0000,-0.0000,0.0000,0.0000,49.3977
41.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,49.3977
42.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,-0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3977
42.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0033,-0.0000,-0.0000,0.0000,0.0000,49.3671
43.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,-0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3671
43.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3977
44.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0002,0.0000,-0.0000,-0.0000,0.0000,0.0000,49.3977
44.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,-0.0022,-0.0000,-0.0000,0.0000,0.0000,49.3977
45.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0001,0.0011,-0.0901,-0.0939,0.0076,0.0000,49.3977
45.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0001,0.0011,-0.0901,-0.0939,0.0000,0.0000,49.3824
46.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,-0.0033,-0.0901,-0.0939,0.0000,0.0000,49.3977
46.5,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0004,0.0011,-0.0901,-0.0939,0.0000,0.0000,49.4589
47.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0000,0.0011,-0.0901,-0.0939,0.0000,0.0000,49.3365
47.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0061,-0.0456,-0.0941,-0.0979,0.0534,-0.0305,49.3977
48.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0372,-0.1178,-0.1476,-0.1499,0.1526,-0.0610,49.4589
48.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0814,-0.1456,-0.2392,-0.2252,0.2365,-0.1450,49.3977
49.0,0.0386,-0.0024,-0.0517,0.9987,-5.9313,0.1275,-0.0489,-0.3323,-0.2970,0.3052,-0.2823,49.4283
49.5,0.1520,-0.0197,-0.0811,0.9967,-9.2980,0.1895,0.0600,-0.4539,-0.4009,0.3738,-0.4196,49.3977
50.0,0.2564,-0.0344,-0.0567,0.9984,-6.5007,0.2524,0.1522,-0.5654,-0.5020,0.4578,-0.5798,49.4130
50.5,0.3598,-0.0429,-0.0264,0.9997,-3.0259,0.3148,0.1678,-0.6817,-0.6315,0.5798,-0.7019,49.4130
