time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity,right_velocity,left_rps,right_rps,voltage
1777785700.176,2.9109,0.8967,0.2185,0.9758,0.4953,-0.4389,-7.7631,10.6363,1.0681,-0.7553,49.6120
1777785701.176,3.3924,1.0220,-0.0177,0.9998,0.4944,-0.5489,-7.8432,10.5562,1.1063,-0.7248,49.5967
1777785702.176,3.8659,0.8781,-0.2223,0.9750,0.5100,-0.1156,-8.7861,9.6133,0.9766,-0.9079,49.6120
1777785703.176,4.2618,0.6813,-0.2440,0.9698,0.5005,0.1456,-9.7291,8.6703,0.8469,-0.9842,49.5814
1777785704.183,4.8228,0.4704,-0.1090,0.9940,0.4957,0.3933,-10.6447,7.7548,0.7782,-1.0757,49.6120
1777785705.176,5.3241,0.4967,0.0844,0.9964,0.4943,0.1989,-9.7017,8.6977,0.8469,-0.9995,49.6120
1777785706.176,5.7497,0.6018,0.1165,0.9932,0.4951,-0.1822,-8.8846,9.5148,0.9384,-0.8545,49.5814
1777785707.176,6.1880,0.6863,0.0399,0.9992,0.4931,-0.0533,-9.1924,9.2070,0.8774,-0.8698,49.6426
1777785708.176,6.7707,0.7428,0.0273,0.9996,0.5034,-0.0656,-8.7984,9.6010,0.9460,-0.8926,49.7191
1777785709.176,7.1668,0.7584,-0.0183,0.9998,0.5041,-0.1300,-9.1881,9.2114,0.9613,-0.9003,49.8110
1777785710.178,7.7594,0.7069,-0.0490,0.9988,0.5000,0.1211,-8.7356,7.8242,0.9003,-0.9689,49.6120
1777785711.177,8.1528,0.7078,0.0367,0.9993,0.1666,0.1133,-0.3614,-0.3614,0.0305,-0.1373,49.6579
1777785712.176,8.1528,0.7078,0.0367,0.9993,-0.0085,-0.0122,-0.0000,0.0000,-0.0076,0.0076,49.6120
1777785713.176,8.1528,0.7078,0.0367,0.9993,-0.0043,-0.0044,-0.0000,0.0000,0.0000,0.0000,49.5967
1777785714.176,8.1528,0.7078,0.0367,0.9993,-0.0024,0.0011,-0.0000,0.0000,0.0000,0.0000,49.5814
1777785715.178,8.1528,0.7078,0.0367,0.9993,-0.0012,-0.0000,-0.0000,0.0000,0.0000,0.0229,49.5814
1777785716.176,8.1528,0.7078,0.0367,0.9993,0.0002,0.0022,-0.0000,0.0000,0.0000,-0.0229,49.5814
1777785717.176,8.1528,0.7078,0.0367,0.9993,0.0013,0.0011,-0.0000,0.0000,0.0000,0.0000,49.6426
