time_s,map_odom_deg,odom_base_deg,map_laser_deg,base_laser_deg,odom_laser_deg
1777022681.755671,-64.188786,-5.771270,-70.155872,0.000000,-5.771270
1777022681.864159,-63.853739,-0.583629,-64.516086,0.000000,-0.583629
1777022681.956113,-63.567457,2.728793,-60.903602,0.000000,2.728793
1777022682.054788,-63.119602,5.066875,-58.160444,0.000000,5.066875
1777022682.157577,-62.729324,6.641924,-56.186820,0.000000,6.641924
1777022682.255202,-62.561582,8.488315,-54.118065,0.000000,8.488315
1777022682.355312,-62.627785,11.025163,-51.584092,0.000000,11.025163
1777022682.456090,-62.187522,14.694998,-47.612910,0.000000,14.694998
1777022682.558725,-62.211501,20.198596,-42.006454,0.000000,20.198596
1777022682.656271,-62.030009,27.298722,-34.776794,0.000000,27.298722
1777022682.757281,-61.965569,35.831564,-26.149177,0.000000,35.831564
1777022682.855434,-61.195233,45.145937,-16.221570,0.000000,45.145937
1777022682.959340,-60.525307,53.423001,-7.241562,0.000000,53.423001
1777022683.068335,-60.324792,61.931733,1.562866,0.000000,61.931733
1777022683.159481,-60.317137,67.983862,7.665044,0.000000,67.983862
1777022683.263762,-60.571274,72.425084,11.914459,0.000000,72.425084
1777022683.359383,-60.520810,75.332800,14.798679,0.000000,75.332800
1777022683.457339,-60.501870,77.872832,17.365673,0.000000,77.872832
1777022683.554924,-60.419550,81.010585,20.566865,0.000000,81.010585
1777022683.656200,-60.247782,85.058947,24.757343,0.000000,85.058947
1777022683.755124,-60.147469,90.223653,30.046129,0.000000,90.223653
1777022683.865741,-60.137333,97.412177,37.272251,0.000000,97.412177
1777022683.957503,-60.466974,105.466626,45.073441,0.000000,105.466626
1777022684.058098,-60.524856,113.789107,53.275601,0.000000,113.789107
1777022684.155546,-60.149940,121.281000,61.060879,0.000000,121.281000
1777022684.259668,-59.352291,127.309828,67.807567,0.000000,127.309828
1777022684.358947,-59.203743,131.381158,72.147086,0.000000,131.381158
1777022684.456099,-59.252242,133.494515,74.253354,0.000000,133.494515
1777022684.566065,-59.468430,134.199256,74.786480,0.000000,134.199256
1777022684.657420,-59.463463,134.032073,74.567271,0.000000,134.032073
1777022684.766460,-59.463463,133.587437,74.123974,0.000000,133.587437
1777022684.854656,-59.463463,133.125713,73.662249,0.000000,133.125713
1777022684.958134,-59.463463,132.006248,72.542784,0.000000,132.006248
1777022685.056771,-59.463463,130.192073,70.728610,0.000000,130.192073
1777022685.155722,-59.470910,125.527427,66.058032,0.000000,125.527427
1777022685.256668,-59.709625,119.811676,60.157227,0.000000,119.811676
1777022685.361320,-59.863364,114.008044,54.177244,0.000000,114.008044
1777022685.462759,-60.062971,105.758805,45.739964,0.000000,105.758805
1777022685.558083,-60.303225,98.030535,37.781260,0.000000,98.030535
1777022685.667811,-60.326214,90.352376,30.031450,0.000000,90.352376
1777022685.759923,-60.629221,83.866321,23.305895,0.000000,83.866321
1777022685.856784,-61.211956,77.712671,16.625229,0.000000,77.712671
1777022685.964060,-61.605178,72.363361,10.846263,0.000000,72.363361
1777022686.055735,-62.158715,68.555072,6.520118,0.000000,68.555072
1777022686.162320,-62.337773,65.991942,3.691846,0.000000,65.991942
1777022686.255547,-62.713788,64.575059,1.937827,0.000000,64.575059
1777022686.356354,-62.883868,64.729353,1.869569,0.000000,64.729353
1777022686.456835,-62.883868,66.620268,3.736401,0.000000,66.620268
1777022686.556354,-62.707992,69.812769,7.070659,0.000000,69.812769
1777022686.654728,-62.517970,73.857122,11.300811,0.000000,73.857122
1777022686.756515,-62.083017,78.074284,15.942527,0.000000,78.074284
1777022686.858085,-61.670848,82.119002,20.357653,0.000000,82.119002
1777022686.964466,-61.399802,85.995161,24.535560,0.000000,85.995161
1777022687.057317,-61.143386,88.924716,27.729457,0.000000,88.924716
1777022687.164150,-60.864352,91.936086,31.007908,0.000000,91.936086
1777022687.257401,-60.545583,95.220363,34.602561,0.000000,95.220363
1777022687.356261,-60.290581,98.049291,37.700251,0.000000,98.049291
1777022687.459570,-60.070129,100.893446,40.773456,0.000000,100.893446
1777022687.564966,-59.715558,103.239173,43.471432,0.000000,103.239173
1777022687.655896,-59.575042,104.960563,45.349489,0.000000,104.960563
1777022687.754960,-59.538755,106.107318,46.559806,0.000000,106.107318
1777022687.858314,-59.677144,107.111288,47.465010,0.000000,107.111288
1777022687.955978,-59.677144,108.193778,48.516635,0.000000,108.193778
1777022688.059024,-59.873941,109.747711,49.916659,0.000000,109.747711
1777022688.156354,-59.813220,112.073655,52.247730,0.000000,112.073655
1777022688.257427,-59.538271,115.481049,55.880104,0.000000,115.481049
1777022688.356633,-59.435676,119.865944,60.408532,0.000000,119.865944
1777022688.478603,-59.288572,124.822383,65.505942,0.000000,124.822383
1777022688.560698,-59.319242,130.749286,71.432940,0.000000,130.749286
1777022688.655602,-59.255024,135.519579,76.252635,0.000000,135.519579
1777022688.761842,-59.311055,140.640335,81.340108,0.000000,140.640335
1777022688.856665,-59.384111,145.222387,85.851838,0.000000,145.222387
1777022688.958587,-59.215462,148.931599,89.681637,0.000000,148.931599
1777022689.056040,-59.206079,151.778634,92.570615,0.000000,151.778634
1777022689.158433,-59.256652,153.380818,94.134163,0.000000,153.380818
1777022689.254778,-59.079322,154.207202,95.091731,0.000000,154.207202
1777022689.357673,-59.049100,154.228081,95.172319,0.000000,154.228081
1777022689.456601,-59.049100,153.836116,94.787016,0.000000,153.836116
1777022689.554899,-59.167277,152.603304,93.456727,0.000000,152.603304
1777022689.662835,-59.167277,151.036724,91.869447,0.000000,151.036724
1777022689.757880,-59.223746,149.309136,90.095510,0.000000,149.309136
1777022689.854604,-59.377358,147.417108,88.067142,0.000000,147.417108
1777022689.955658,-59.553767,145.487532,85.970637,0.000000,145.487532
1777022690.055124,-59.713803,143.624298,83.940698,0.000000,143.624298
1777022690.157837,-59.925181,141.871444,81.984889,0.000000,141.871444
1777022690.254769,-60.102633,140.280290,80.210022,0.000000,140.280290
1777022690.357652,-60.455357,138.949468,78.558307,0.000000,138.949468
1777022690.456486,-60.608843,138.059669,77.478825,0.000000,138.059669
1777022690.561414,-60.776223,138.039652,77.295025,0.000000,138.039652
1777022690.655425,-60.776223,139.182443,78.406220,0.000000,139.182443
1777022690.758492,-61.034390,141.620992,80.634109,0.000000,141.620992
1777022690.855943,-61.172896,145.047634,83.900349,0.000000,145.047634
1777022690.956407,-61.096746,149.182221,88.070822,0.000000,149.182221
1777022691.061562,-61.097400,152.681191,91.583904,0.000000,152.681191
1777022691.155624,-60.981996,156.506931,95.506709,0.000000,156.506931
1777022691.255873,-60.714692,159.427231,98.667472,0.000000,159.427231
1777022691.356379,-60.738641,161.775691,101.041274,0.000000,161.775691
1777022691.481305,-60.771126,163.657960,102.892836,0.000000,163.657960
1777022691.557915,-60.801248,164.956675,104.161084,0.000000,164.956675
1777022691.697006,-61.186584,165.710944,104.611540,0.000000,165.710944
1777022691.773216,-61.255684,165.949501,104.708627,0.000000,165.949501
1777022691.860884,-61.369447,165.796880,104.455419,0.000000,165.796880
1777022691.958344,-61.369447,165.379191,104.009745,0.000000,165.379191
1777022692.061489,-61.543151,164.581769,103.073059,0.000000,164.581769
1777022692.156560,-61.794283,163.623112,101.875612,0.000000,163.623112
1777022692.258206,-61.710998,162.468407,100.742286,0.000000,162.468407
1777022692.358810,-61.792194,161.316171,99.538571,0.000000,161.316171
1777022692.456162,-61.655601,160.127974,98.448506,0.000000,160.127974
1777022692.556785,-61.903853,158.988447,97.130549,0.000000,158.988447
1777022692.657887,-61.931573,157.946007,96.019366,0.000000,157.946007
1777022692.755683,-61.934640,157.057686,95.123564,0.000000,157.057686
1777022692.854561,-61.866285,156.323014,94.444927,0.000000,156.323014
1777022692.974606,-61.853990,155.722071,93.865974,0.000000,155.722071
1777022693.061702,-61.842455,155.211576,93.367510,0.000000,155.211576
1777022693.167055,-61.842455,154.714710,92.872254,0.000000,154.714710
1777022693.255660,-61.962405,154.413606,92.471268,0.000000,154.413606
1777022693.356887,-61.962405,154.234045,92.271640,0.000000,154.234045
1777022693.457001,-61.796104,154.207341,92.385096,0.000000,154.207341
1777022693.559486,-61.796104,154.221587,92.425483,0.000000,154.221587
1777022693.657920,-61.651584,154.321769,92.644935,0.000000,154.321769
1777022693.760700,-61.651584,154.425672,92.774088,0.000000,154.425672
1777022693.854855,-61.636008,154.522678,92.883918,0.000000,154.522678
1777022693.957242,-61.636008,154.639410,93.003401,0.000000,154.639410
1777022694.056798,-61.779833,154.790335,93.032653,0.000000,154.790335
1777022694.156030,-61.779833,154.981645,93.201812,0.000000,154.981645
1777022694.257964,-61.815106,155.182024,93.372499,0.000000,155.182024
1777022694.361563,-61.908276,155.383948,93.494525,0.000000,155.383948
1777022694.455226,-61.908276,155.571469,93.663193,0.000000,155.571469
1777022694.565375,-61.931761,155.731204,93.805037,0.000000,155.731204
1777022694.656093,-61.931761,155.819507,93.887746,0.000000,155.819507
1777022694.756322,-61.901431,155.946807,94.040940,0.000000,155.946807
1777022694.856694,-61.901431,156.163285,94.261855,0.000000,156.163285
1777022694.956855,-61.992163,156.605498,94.630829,0.000000,156.605498
1777022695.057481,-61.992163,157.751936,95.759773,0.000000,157.751936
1777022695.156025,-61.901119,159.627012,97.711314,0.000000,159.627012
1777022695.255113,-61.711562,163.093968,101.352752,0.000000,163.093968
1777022695.359204,-61.416478,167.338887,105.875349,0.000000,167.338887
1777022695.459315,-61.048696,172.158926,111.053157,0.000000,172.158926
1777022695.556005,-60.946285,177.146497,116.186295,0.000000,177.146497
1777022695.663374,-60.626872,-178.844501,120.487032,0.000000,-178.844501
1777022695.759646,-60.275530,-173.834065,125.841640,0.000000,-173.834065
1777022695.855601,-59.961718,-170.639402,129.353179,0.000000,-170.639402
1777022695.955535,-60.109671,-168.100630,131.813235,0.000000,-168.100630
1777022696.056060,-60.226159,-166.597082,133.195616,0.000000,-166.597082
1777022696.157399,-60.460889,-165.842578,133.735510,0.000000,-165.842578
1777022696.258279,-60.518050,-165.526713,133.964840,0.000000,-165.526713
1777022696.356059,-60.518050,-165.017655,134.464295,0.000000,-165.017655
1777022696.455865,-60.682723,-164.005744,135.343521,0.000000,-164.005744
1777022696.555837,-60.682723,-162.418155,136.899122,0.000000,-162.418155
1777022696.655991,-60.809840,-160.443330,138.764981,0.000000,-160.443330
1777022696.755588,-60.865050,-158.198007,140.944197,0.000000,-158.198007
1777022696.856851,-61.038966,-155.861214,143.120737,0.000000,-155.861214
1777022696.961616,-60.972688,-153.576093,145.444048,0.000000,-153.576093
